g,bp_rp
16.09365,0.9224911
16.095707,0.99352646
16.100315,0.9106407
16.106709,1.1091318
16.10736,1.2529039
16.107908,1.3375835
16.10979,1.0929317
16.111761,1.3051767
16.114992,0.84555054
16.117825,0.8617096
16.120209,1.1732092
16.121853,1.08675
16.12266,1.5326481
16.122797,0.98575497
16.125154,0.84677505
16.127924,1.0975122
16.130745,0.9204521
16.136257,1.0073624
16.137888,1.0584908
16.138922,1.250063
16.144323,1.3134108
16.145315,1.0868464
16.145847,0.8365736
16.146646,0.8762808
16.146978,0.88448715
16.149307,1.0812731
16.14967,1.0964947
16.150341,0.8517456
16.151348,1.0902824
16.153534,0.95912266
16.154522,1.1288967
16.154581,1.161231
16.156248,1.4067783
16.157671,1.0162048
16.158741,0.8798599
16.160513,1.1352367
16.16518,0.86596966
16.1656,0.8167982
16.166286,1.1468391
16.167595,0.8556595
16.16867,0.8941097
16.171272,1.0578384
16.17488,0.85239124
16.174906,0.9465618
16.185959,0.94406223
16.188686,1.3565454
16.189537,0.96000576
16.196962,1.3004904
16.198912,0.8648844
16.201065,1.0883493
16.201502,1.0566978
16.203142,0.9381027
16.203348,1.1508179
16.208714,0.8397665
16.210115,0.8419981
16.210434,0.92190266
16.211021,1.1332083
16.21124,0.93344307
16.21398,0.9691324
16.216259,0.8485937
16.216547,0.90458584
16.217375,1.1564646
16.217667,0.8399372
16.218893,
16.221733,0.8688154
16.221973,0.9213171
16.222485,1.0405617
16.222775,1.2466803
16.223104,0.8908138
16.2252,2.1460075
16.229507,1.3976421
16.230474,1.4335957
16.234259,1.0856829
16.234295,1.359087
16.234608,1.1541204
16.239708,1.4160442
16.23976,1.1632576
16.239878,1.2213888
16.24465,0.9097328
16.246742,0.8980694
16.24815,1.0128307
16.250292,1.4533854
16.250639,1.2496243
16.251778,1.2456512
16.253796,1.1239233
16.255693,1.2098923
16.2563,1.1258497
16.258947,0.8923359
16.259413,1.4266663
16.261925,1.1336164
16.263596,0.93176746
16.264345,1.1722832
16.266823,1.3443365
16.26772,1.8927441
16.26809,0.9810467
16.270126,1.1404066
16.271364,0.92134285
16.27196,0.9880333
16.273046,1.1382484
