ra,dec,phot_g_mean_mag,bp_rp
250.5971700554269,36.44837954547632,18.465204,-0.45336342
250.61042931739073,36.46181377587948,13.3266325,0.959712
250.4352966651442,36.382890214232766,17.821836,0.6949959
250.41484809169086,36.3801230729219,16.807106,0.8964939
250.37477977062494,36.36790432365601,18.478815,0.6294346
250.3806270402247,36.36647299340897,18.022709,0.660038
250.38818898785135,36.3660685461545,16.415878,0.9308348
250.4066870311379,36.39735080570319,18.491745,0.59207344
250.4116452430115,36.411312947874464,18.116674,-0.27227402
250.4096557150122,36.398117767565246,17.811394,0.7256775
250.41188707170497,36.40842058626632,18.33372,0.63014793
250.3930946265063,36.40767509529744,16.846554,0.9391079
250.409381946527,36.41380003141138,17.850227,0.7155304
250.44305448635382,36.386096402179916,13.469003,1.1903229
250.45984984966384,36.394880011244325,13.575198,1.1834593
250.43431349557017,36.392056364509685,18.274132,0.68179893
250.45282134878877,36.409728202378126,17.98179,0.6948967
250.45951595553296,36.41571214979006,18.093784,0.641407
250.45738336971766,36.41161969119427,18.298681,0.71518517
250.483029747336,36.41850036247707,18.337858,0.6285229
250.4806342173005,36.42530529831083,18.442274,0.6107273
250.47099150904413,36.42777703698228,17.90769,0.7319927
250.4685903579776,36.42432336320631,17.80378,0.6732044
250.45684536296247,36.42896195185688,17.918427,0.718853
250.45708200971876,36.43040347512125,18.004429,0.74967384
250.44741898591784,36.4258897911149,18.170177,0.67847824
250.45498671891423,36.4191145271066,18.443125,0.8132572
250.44917070708655,36.42228247017717,18.223886,0.68961525
250.4535394336821,36.423160377964045,16.741686,0.9521656
250.457429278582,36.43204246257643,18.420042,1.3306808
250.46634014890205,36.430457584855354,17.281767,0.87304306
250.46982654356273,36.436843980669316,18.271309,0.6244602
250.46479124738073,36.44118038185716,17.927067,0.7882042
250.46287168195576,36.43816348877515,18.46646,0.814167
250.460963416605,36.440681713945665,15.659989,0.9716368
250.470208107072,36.43870510480833,18.21637,0.7480335
250.4651268965379,36.44069709128379,18.490288,
250.42640976211965,36.41133090136101,18.438963,0.74407196
250.4292896613716,36.416020332091215,18.188002,0.6583767
250.41836650755752,36.409013448418094,17.59979,0.788784
250.4266963922155,36.42809931770602,14.058243,1.1176252
250.43040536907455,36.42287806066696,16.712324,0.90431595
250.4347607527551,36.4202706281928,15.291122,0.9950123
250.43419748561027,36.41570022388052,18.24446,0.66542816
250.43304401651648,36.41555607148561,18.086956,0.69314194
250.43149584629978,36.416602092653875,18.44279,
250.43407991120122,36.420019710926084,17.979263,0.7430401
250.4341351063468,36.42553333801273,16.801256,0.85258293
250.42635436591593,36.42421148857977,18.424477,
250.41073824813253,36.42985554712087,18.014431,0.3121109
