ID;Name;Type;RA;Dec;Mag;Mag 2;Sep;PosAngle;Catalogue;Spect
ASCC1198622;42 Ori, HIP26237, HD37018;Star+Var Star+Dbl;05h 35m 23s;-04°50,3';4,6;5,2;252,0;105;ASCC;B2III...
ASCC1198646;45 Ori, HIP26268, HD37077;Star+Var Star+Dbl;05h 35m 39s;-04°51,3';5,2;;;;ASCC;F0III
WDS05320-0018;Delta Ori, STFA14, BD-00 00982,Mintaka;Dbl;05h 32m 00s;-00°17,9';2,4;6,8;51,8;0;WDS2024_08;O9.5II+
ASCC1198342;HD36485, Delta Ori, 34 Ori;Star+Var Star+Dbl;05h 32m 00s;-00°17,0';6,8;;;;ASCC;
WDS04334+4304;57 Per, SHJ44, BD+42 00990;Dbl;04h 33m 25s;+43°03,8';6,1;6,8;121,4;197;WDS2024_08;F0V
HIP21238;CCDM04334+4303, HD28693, BD+42  989;Star;04h 33m 22s;+43°01,9';6,8;;;;Hipparcos;F0
ASCC832235;HIP6706, HD8723, Rho Psc, 93 Psc;Star+Var Star;01h 26m 15s;+19°10,3';5,3;;447,0;57;ASCC;F2V:var
ASCC832252;HIP6732, HD8763, 94 Psc;Star;01h 26m 42s;+19°14,4';5,5;;;;ASCC;K1III
WDS01057+2128;Psi Psc, STF88, BD+20 00156;Dbl;01h 05m 41s;+21°28,3';5,3;5,4;29,8;159;WDS2024_08;B9.5V+A0V
HIP5132;CCDM01057+2128, HD6457, BD+20  157;Star+Dbl;01h 05m 42s;+21°27,9';5,6;5,6;;;Hipparcos;A0Vn
WDS07478-1601;KNT4, BD-15 02052;Dbl;07h 47m 45s;-16°00,8';6,6;6,5;128,1;313;WDS2024_08;K5II+K2I
HIP38031;CCDM07477-1600, HD63302, BD-15 2049;Star+Var Star;07h 47m 39s;-15°59,4';6,4;6,6;;;Hipparcos;K3Iab/b
WDS16120-1928;Nu Sco, H56, BD-19 04332,Jabbah;Dbl;16h 12m 00s;-19°27,6';4,3;6,6;41,4;336;WDS2024_08;B2IV
ASCC1488720;HD145501, nu Sco, 14 Sco;Star+Dbl;16h 11m 59s;-19°27,0';6,5;;;;ASCC;A
WDS16519-3803;Mu 1 Sco, SKF2608;Dbl;16h 51m 52s;-38°02,8';3,0;3,5;346,8;72;WDS2024_08;B1IV+B2IV
HIP82545;Mu 2 Sco, HD151985, CD-37 11037, CPD-37  6764;Star;16h 52m 20s;-38°01,0';3,6;;;;Hipparcos;B2IV
ASCC1974877;HIP82729, HD152334, zet Sco;Star+Var Star;16h 54m 35s;-42°21,6';3,6;;391,0;270;ASCC;K4III
HIP82671;HD152236, CD-42 11633, CPD-42  7545;Star+Var Star;16h 54m 00s;-42°21,7';4,8;4,9;;;Hipparcos;B1Iae
ASCC1586719;Omega 1 Sco, HIP78933, HD144470, 9 Sco;Star;16h 06m 48s;-20°40,1';4,0;;;;ASCC;B1V
ASCC1586748;Omega 2 Sco, HIP78990, HD144608, 10 Sco;Star+Var Star;16h 07m 24s;-20°52,1';4,3;;877,0;145;ASCC;G6/G8III
WDS20099+2055;Theta Cyg, STF2637, BD+20 04452;Dbl;20h 09m 57s;+20°54,8';6,6;7,5;91,9;222;WDS2024_08;F3V+F5IV
ASCC808677;HD191571;Star+Dbl;20h 09m 52s;+20°53,7';7,4;;;;ASCC;K2
WDS03459+2433;21 Tau, HJL1026, Sterope;Dbl;03h 45m 54s;+24°33,2';5,8;6,4;149,6;130;WDS2024_08;B8V
HIP17588;HD23441, BD+24  556;Star;03h 46m 03s;+24°31,6';6,4;;;;Hipparcos;A0Vn
WDS03475+2406;Eta Tau, STFA8, BD+23 00541,Alcyone;Dbl;03h 47m 29s;+24°06,3';2,8;6,3;117,6;291;WDS2024_08;B7III+A4V
ASCC748230;HD23629;Star+Dbl;03h 47m 21s;+24°07,0';6,3;;;;ASCC;A0
ASCC748228;HD23607;Star+Var Star+Dbl;03h 47m 19s;+24°08,3';8,3;;;;ASCC;A0
ASCC748224;HD 23608, CCDM J03474+2407D, SAO 76188, WDS J03475+2406D, Gaia DR3 66715174415764736;Star+Dbl;03h 47m 17s;+24°07,7';8,7;;;;ASCC;G0
WDS04357+1010;88 Tau, SHJ45;Dbl;04h 35m 39s;+10°09,6';4,3;7,8;69,2;300;WDS2024_08;A5m
