nombre,alt,ra_grados,dec_grados,re_arcsec,razon_ejes,pa_grados,mag_v,sersic_n,frac_bulbo,polvo,n_medido
NGC 1179,ESO 547- 1,45.66,-18.89778,312.56,0.776,35,12.05,1.0,0.08,0,2.56
NGC 1169,UGC 2503,45.89625,46.38444,90.83,0.676,28,11.45,1.0,0.3,0,0.0
NGC 1199,MCG -3- 8- 67,45.91042,-15.61389,31.41,0.794,0,11.47,4.0,1.0,0,0.0
NGC 1201,ESO 480- 28,46.03458,-26.0675,96.85,0.589,7,10.77,4.0,0.6,0,0.0
NGC 1209,MCG -3- 8- 73,46.51292,-15.61167,26.74,0.479,85,11.51,4.0,1.0,0,0.0
IC 284,UGC 2531,46.54083,42.37194,86.73,0.513,13,11.92,1.0,0.03,0,0.0
,ESO 300- 14,47.40833,-41.03083,304.93,0.513,166,12.45,1.0,0.03,0,1.19
NGC 1232,ESO 547- 14,47.43875,-20.58111,126.21,0.871,108,9.97,1.0,0.15,0,1.88
NGC 1249,ESO 155- 6,47.51083,-53.33444,63.28,0.479,86,11.64,1.0,0.08,0,1.76
NGC 1241,MCG -2- 9- 11,47.81125,-8.92194,50.5,0.603,140,11.24,1.0,0.3,0,0.0
NGC 1255,ESO 481- 13,48.38625,-25.72528,95.74,0.631,117,10.65,1.0,0.15,0,1.55
NGC 1253,MCG -1- 9- 18,48.53875,-2.82278,83.74,0.447,75,11.72,1.0,0.08,0,2.12
NGC 1288,ESO 357- 13,49.30583,-32.57583,40.84,0.832,0,12.23,1.0,0.15,0,0.0
NGC 1291,ESO 301- 2,49.32333,-41.10778,134.11,0.832,0,8.49,1.0,0.6,0,6.08
NGC 1292,ESO 418- 1,49.56333,-27.61111,32.02,0.447,7,12.29,1.0,0.15,0,1.25
NGC 1313,ESO 82- 11,49.56458,-66.4975,103.25,0.759,0,8.65,1.0,0.08,0,1.64
NGC 1272,UGC 2662,49.83875,41.49222,59.17,0.933,0,11.96,4.0,1.0,0,0.0
NGC 1300,ESO 547- 31,49.92,-19.41139,138.39,0.661,106,10.36,1.0,0.15,0,0.0
NGC 1275,UGC 2669,49.95208,41.5125,19.79,0.759,110,12.09,1.0,0.03,0,0.0
NGC 1302,ESO 481- 20,49.96167,-26.06,78.97,0.955,0,10.7,1.0,0.6,0,6.85
NGC 1310,ESO 357- 19,50.26667,-37.10111,47.44,0.776,95,12.0,1.0,0.15,0,1.22
NGC 1309,MCG -3- 9- 28,50.5275,-15.40056,29.93,0.933,0,11.22,1.0,0.15,0,1.5
NGC 1316,ESO 357- 22,50.67333,-37.20778,262.8,0.708,50,8.52,4.0,0.6,0,0.0
NGC 1317,ESO 357- 23,50.68625,-37.10278,37.15,0.871,78,11.16,1.0,0.5,0,0.0
NGC 1326,ESO 357- 26,50.985,-36.46389,89.05,0.741,77,10.47,4.0,0.6,0,1.28
NGC 1325,ESO 548- 7,51.10542,-21.5425,91.55,0.339,56,11.47,1.0,0.15,1,1.15
IC 1933,ESO 155- 25,51.41667,-52.78389,35.16,0.525,55,12.35,1.0,0.08,0,1.31
NGC 1332,ESO 548- 18,51.57208,-21.33583,50.36,0.309,148,10.35,4.0,1.0,0,4.05
NGC 1341,ESO 358- 8,51.99125,-37.15083,25.9,0.832,0,11.53,1.0,0.3,0,1.54
NGC 1337,MCG -2- 9- 42,52.02458,-8.38972,87.72,0.257,0,11.93,1.0,0.08,1,1.39
NGC 1339,ESO 418- 4,52.02708,-32.28611,20.28,0.724,172,11.61,4.0,1.0,0,5.73
NGC 1344,ESO 418- 5,52.07958,-31.06806,35.25,0.575,165,10.37,4.0,1.0,0,0.0
NGC 1351,ESO 358- 12,52.645,-34.85333,26.13,0.603,140,11.56,4.0,1.0,0,0.0
NGC 1350,ESO 358- 13,52.785,-33.62889,80.85,0.537,0,10.41,1.0,0.3,0,7.8
IC 1954,ESO 200- 36,52.8825,-51.90444,48.4,0.49,66,11.4,1.0,0.3,0,1.39
NGC 1353,ESO 548- 31,53.01333,-20.81778,48.36,0.417,138,11.65,1.0,0.3,0,3.02
NGC 1357,MCG -2-10- 1,53.32167,-13.665,52.88,0.692,0,11.63,1.0,0.3,0,6.61
NGC 1365,ESO 358- 17,53.4025,-36.13806,140.85,0.55,32,9.57,1.0,0.3,0,16.06
IC 1953,ESO 548- 38,53.42375,-21.47806,58.74,0.776,121,11.69,1.0,0.08,0,1.0
NGC 1359,ESO 548- 39,53.44958,-19.49139,52.05,0.724,139,12.04,1.0,0.03,0,3.59
NGC 1366,ESO 418- 10,53.47208,-31.19333,26.25,0.447,2,11.07,4.0,0.6,0,6.32
NGC 1371,ESO 482- 10,53.75292,-24.93444,83.18,0.692,135,10.82,1.0,0.5,0,5.61
NGC 1374,ESO 358- 23,53.81958,-35.22639,25.24,0.933,0,11.1,4.0,1.0,0,0.0
NGC 1379,ESO 358- 27,54.01375,-35.44056,42.38,0.955,0,10.9,4.0,1.0,0,0.0
NGC 1380,ESO 358- 28,54.11208,-34.97583,106.42,0.479,7,9.97,4.0,0.6,0,0.0
NGC 1381,ESO 358- 29,54.13125,-35.29417,14.84,0.275,139,11.54,4.0,0.6,0,0.0
NGC 1386,ESO 358- 35,54.19333,-35.99944,45.51,0.38,25,11.19,4.0,0.6,0,8.99
NGC 1387,ESO 358- 36,54.23792,-35.50639,21.24,1.0,0,10.78,4.0,1.0,0,0.0
NGC 1382,ESO 358- 37,54.28542,-35.19472,45.15,0.871,0,12.02,4.0,0.6,0,0.0
NGC 1389,ESO 358- 38,54.29917,-35.745,19.37,0.603,30,11.52,4.0,1.0,0,3.49
NGC 1385,ESO 482- 16,54.36667,-24.50333,40.53,0.589,165,10.9,1.0,0.08,0,1.37
NGC 1399,ESO 358- 45,54.62083,-35.44944,41.89,0.933,0,9.65,4.0,1.0,0,0.0
NGC 1395,ESO 482- 19,54.62333,-23.02778,55.86,0.759,0,9.65,4.0,1.0,0,0.0
NGC 1393,ESO 548- 58,54.66083,-18.42778,72.38,0.646,170,12.07,4.0,0.6,0,0.0
NGC 1411,ESO 249- 11,54.6875,-44.1,16.11,0.724,6,11.33,4.0,1.0,0,6.16
NGC 1404,ESO 358- 46,54.71542,-35.59333,25.24,0.891,0,10.07,4.0,1.0,0,0.0
NGC 1398,ESO 482- 22,54.71583,-26.33639,80.03,0.759,100,9.82,1.0,0.3,0,5.31
NGC 1406,ESO 418- 15,54.84417,-31.32194,67.21,0.2,15,11.65,1.0,0.15,1,1.18
NGC 1400,ESO 548- 62,54.88042,-18.68861,31.41,0.871,40,11.02,4.0,1.0,0,0.0
NGC 1407,ESO 548- 67,55.05167,-18.58111,72.8,0.933,35,9.8,4.0,1.0,0,0.0
NGC 1415,ESO 482- 33,55.2375,-22.56361,67.94,0.513,148,11.87,1.0,0.6,0,4.99
NGC 1417,MCG -1-10- 21,55.48875,-4.70583,43.48,0.617,10,12.05,1.0,0.3,0,0.0
NGC 1433,ESO 249- 14,55.50542,-47.22139,105.5,0.912,0,9.95,1.0,0.3,0,13.16
NGC 1425,ESO 419- 4,55.54792,-29.89444,105.67,0.447,129,10.54,1.0,0.3,0,4.94
NGC 1427,ESO 358- 52,55.58167,-35.39333,37.34,0.676,76,10.87,4.0,1.0,0,0.0
NGC 1421,MCG -2-10- 8,55.62292,-13.48833,85.53,0.245,0,11.2,1.0,0.15,1,2.25
NGC 1426,ESO 549- 1,55.70542,-22.11028,31.41,0.631,111,11.39,4.0,1.0,0,0.0
NGC 1437,ESO 358- 58,55.9075,-35.85306,70.51,0.676,150,11.66,1.0,0.3,0,0.89
NGC 1448,ESO 249- 16,56.13333,-44.64389,134.78,0.224,41,10.85,1.0,0.08,1,1.0
NGC 1439,ESO 549- 9,56.21,-21.9225,34.84,0.933,0,11.37,4.0,1.0,0,0.0
NGC 1440,ESO 549- 10,56.26417,-18.2675,74.92,0.759,28,11.66,4.0,0.6,0,0.0
IC 334,UGC 2824,56.32125,76.63694,54.11,0.759,0,11.65,1.0,0.3,0,0.0
NGC 1452,ESO 549- 12,56.34167,-18.63444,54.95,0.661,113,12.01,1.0,0.5,0,3.91
,ESO 358- 63,56.57833,-34.9425,72.28,0.269,133,12.05,1.0,0.03,1,1.43
NGC 1453,MCG -1-10- 34,56.61375,-3.96944,27.68,0.813,0,11.68,4.0,1.0,0,0.0
IC 342,UGC 2847,56.70708,68.09583,1364.37,0.977,0,8.55,1.0,0.08,0,0.0
IC 1993,ESO 358- 65,56.7925,-33.70861,51.42,0.871,0,11.68,1.0,0.15,0,0.0
NGC 1461,MCG -3-10- 47,57.11292,-16.39167,21.31,0.309,0,11.91,4.0,0.6,0,3.61
IC 2006,ESO 359- 7,58.61833,-35.96722,31.05,0.851,0,11.31,4.0,1.0,0,3.54
NGC 1487,ESO 249- 31,58.94417,-42.36722,31.01,0.646,55,11.79,1.0,0.03,0,2.29
NGC 1493,ESO 249- 33,59.36583,-46.21056,57.4,0.933,0,11.23,1.0,0.08,0,1.32
NGC 1511,ESO 55- 4,59.89917,-67.63528,48.4,0.347,125,11.13,1.0,0.5,0,1.62
NGC 1512,ESO 250- 4,60.9775,-43.35083,165.96,0.631,90,10.38,1.0,0.5,0,4.89
NGC 1515,ESO 156- 36,61.0125,-54.10278,61.02,0.214,18,11.3,1.0,0.15,1,2.52
NGC 1507,UGC 2947,61.11375,-2.18806,62.77,0.234,11,12.34,1.0,0.03,1,0.93
NGC 1518,ESO 550- 7,61.70833,-21.17861,27.18,0.447,35,11.73,1.0,0.03,0,0.0
IC 356,UGC 2953,61.94625,69.81306,217.9,0.741,90,10.64,1.0,0.3,0,0.0
NGC 1521,ESO 550- 11,62.07917,-21.05167,32.89,0.603,10,11.49,4.0,1.0,0,0.0
NGC 1527,ESO 201- 20,62.10167,-47.89722,44.15,0.372,78,10.84,4.0,0.6,0,0.0
IC 2035,ESO 250- 7,62.25625,-45.51778,5.42,0.794,86,11.6,4.0,0.6,0,3.4
