nombre,alt,ra_grados,dec_grados,re_arcsec,razon_ejes,pa_grados,mag_v,sersic_n,frac_bulbo,polvo,n_medido
NGC 5879,UGC 9753,227.44667,57.00167,45.55,0.324,0,11.47,1.0,0.15,1,2.34
NGC 5833,ESO 42- 3,227.97583,-72.85861,33.58,0.741,128,12.27,1.0,0.15,0,0.0
NGC 5878,MCG -2-39- 6,228.44083,-14.27083,66.76,0.417,0,11.65,1.0,0.3,0,7.08
,ESO 274- 1,228.55667,-46.8125,129.28,0.145,38,11.15,1.0,0.08,1,0.0
NGC 5899,UGC 9789,228.76417,42.04944,52.3,0.372,18,11.95,1.0,0.15,0,1.8
NGC 5885,MCG -2-39- 13,228.76708,-10.08639,52.07,0.871,0,11.75,1.0,0.15,0,1.45
NGC 5907,UGC 9801,228.97417,56.32944,329.99,0.11,155,10.57,1.0,0.15,1,1.16
NGC 5908,UGC 9805,229.18125,55.41111,48.61,0.38,154,12.04,1.0,0.3,0,0.0
NGC 5898,ESO 514- 2,229.55542,-24.09694,23.29,0.912,0,11.59,4.0,1.0,0,0.0
NGC 5903,ESO 514- 4,229.65125,-24.06833,44.89,0.776,168,11.3,4.0,1.0,0,0.0
NGC 5915,MCG -2-39- 19,230.38792,-13.09222,19.2,0.724,130,12.0,1.0,0.3,0,1.37
NGC 5921,UGC 9824,230.485,5.06972,73.47,0.813,130,10.74,1.0,0.15,0,14.97
NGC 5965,UGC 9914,233.50875,56.68611,110.46,0.141,53,11.85,1.0,0.3,1,0.0
NGC 5962,UGC 9926,234.13208,16.60889,42.28,0.708,110,11.43,1.0,0.15,0,2.38
NGC 5970,UGC 9943,234.62542,12.18583,37.68,0.676,88,11.69,1.0,0.15,0,1.91
NGC 5982,UGC 9961,234.6675,59.35611,27.36,0.759,110,11.14,4.0,1.0,0,0.0
NGC 5985,UGC 9969,234.9075,59.3325,94.99,0.537,13,11.12,1.0,0.3,0,0.9
NGC 5987,UGC 9971,234.9925,58.08222,51.95,0.316,165,11.97,1.0,0.3,1,0.0
NGC 5967,ESO 42- 10,237.06792,-75.67278,51.73,0.589,90,12.15,1.0,0.15,0,0.0
NGC 6015,UGC 10075,237.85625,62.31,79.95,0.398,28,11.14,1.0,0.08,0,0.98
NGC 6012,UGC 10083,238.55625,14.60222,51.67,0.724,168,11.94,1.0,0.3,0,1.16
NGC 6070,UGC 10230,242.49458,0.70944,55.73,0.525,62,11.9,1.0,0.08,0,1.71
NGC 6106,UGC 10328,244.69708,7.41194,37.2,0.55,140,12.29,1.0,0.15,0,1.26
NGC 6127,UGC 10345,244.79958,57.98417,21.24,1.0,0,12.1,4.0,1.0,0,0.0
NGC 6140,UGC 10359,245.23792,65.39167,96.36,0.724,95,11.26,1.0,0.08,0,1.89
NGC 6118,UGC 10350,245.45333,-2.28278,83.33,0.427,58,11.87,1.0,0.08,0,1.23
NGC 6166,UGC 10409,247.16,39.55111,55.86,0.724,35,11.88,4.0,1.0,0,0.0
NGC 6181,UGC 10439,248.08708,19.825,28.45,0.447,175,11.94,1.0,0.15,0,1.69
NGC 6217,UGC 10470,248.1675,78.19917,50.25,0.832,0,11.04,1.0,0.15,0,0.0
NGC 6207,UGC 10521,250.76833,36.83306,34.44,0.437,15,11.61,1.0,0.15,0,0.99
NGC 6239,UGC 10577,252.52292,42.74,32.65,0.447,118,12.19,1.0,0.3,0,1.72
NGC 6215,ESO 137- 46,252.77708,-58.99333,27.61,0.832,78,11.45,1.0,0.15,0,0.0
NGC 6221,ESO 138- 3,253.19458,-59.21639,91.43,0.692,5,10.11,1.0,0.15,0,0.0
IC 4618,ESO 43- 9,254.46417,-76.99222,44.78,0.759,118,12.17,1.0,0.15,0,0.0
NGC 6340,UGC 10762,257.6075,72.30611,99.42,0.912,120,10.97,1.0,0.6,0,7.78
NGC 6300,ESO 101- 25,259.24708,-62.81972,107.96,0.661,118,10.23,1.0,0.3,0,0.0
NGC 6412,UGC 10897,262.40208,75.705,47.99,0.871,0,11.73,1.0,0.15,0,1.58
NGC 6384,UGC 10891,263.1025,7.06056,138.39,0.661,30,10.39,1.0,0.15,0,0.0
NGC 6389,UGC 10893,263.16708,16.40333,53.84,0.661,130,12.07,1.0,0.15,0,0.0
NGC 6411,UGC 10916,263.88667,60.81444,32.15,0.794,70,11.89,4.0,1.0,0,0.0
IC 1265,UGC 10917,264.16542,42.08778,38.39,0.427,80,11.56,1.0,0.3,0,3.21
NGC 6407,ESO 139- 22,266.24042,-60.73944,50.66,0.759,60,11.44,4.0,0.6,0,0.0
IC 4662,ESO 102- 14,266.77667,-64.64028,30.27,0.589,105,11.19,1.0,0.03,0,0.0
NGC 6503,UGC 11012,267.36542,70.14472,72.72,0.339,123,10.36,1.0,0.08,1,0.74
NGC 6482,UGC 11009,267.95417,23.07222,6.1,0.851,70,11.45,4.0,1.0,0,0.0
NGC 6487,UGC 11022,268.17625,29.83806,44.89,0.891,0,12.0,4.0,1.0,0,0.0
NGC 6483,ESO 102- 20,269.87417,-63.66861,33.28,0.562,122,12.07,4.0,1.0,0,0.0
NGC 6492,ESO 102- 22,270.7,-66.42972,68.1,0.49,75,11.55,1.0,0.15,0,0.0
NGC 6548,UGC 11115,271.49625,18.58667,63.77,0.955,0,11.83,4.0,0.6,0,0.0
NGC 6555,UGC 11121,271.95458,17.60528,29.25,0.776,110,12.44,1.0,0.15,0,0.0
NGC 6574,UGC 11144,272.96125,14.98056,18.45,0.776,160,12.08,1.0,0.15,0,0.0
NGC 6643,UGC 11218,274.94292,74.57028,60.33,0.501,38,11.18,1.0,0.15,0,0.0
NGC 6438,ESO 10- 1,275.56542,-85.40111,8.58,0.851,0,11.2,4.0,0.6,0,0.0
NGC 6654,UGC 11238,276.03667,73.18306,48.69,0.794,0,12.1,1.0,0.6,0,0.0
NGC 6632,UGC 11226,276.26333,27.53472,47.7,0.468,155,12.19,1.0,0.15,0,0.0
IC 4710,ESO 103- 22,277.15917,-66.98167,51.33,0.776,5,11.95,1.0,0.03,0,0.0
IC 4712,ESO 71- 14,277.78083,-71.6925,44.2,0.525,60,12.42,1.0,0.15,0,0.0
IC 4721,ESO 140- 27,278.60375,-58.49778,92.4,0.282,146,11.83,1.0,0.08,1,0.0
NGC 6674,UGC 11308,279.64042,25.37722,46.77,0.562,143,12.25,1.0,0.3,0,0.0
IC 4731,ESO 103- 37,279.67958,-62.94278,37.98,0.49,82,11.62,4.0,0.6,0,0.0
NGC 6653,ESO 45- 13,281.16125,-73.26306,25.83,0.891,0,11.3,4.0,1.0,0,0.0
NGC 6673,ESO 140- 44,281.27917,-62.29667,23.56,0.427,26,11.67,4.0,1.0,0,0.0
,ESO 104- 7,281.8275,-63.36083,17.59,0.501,96,12.1,1.0,0.3,0,0.0
NGC 6703,UGC 11356,281.82917,45.55083,63.04,0.933,0,11.42,4.0,0.6,0,0.0
NGC 6684,ESO 104- 16,282.23958,-65.17389,113.4,0.661,35,10.41,4.0,0.6,0,0.0
NGC 6699,ESO 183- 21,283.01083,-57.31972,30.28,0.955,0,12.09,1.0,0.15,0,0.0
NGC 6708,ESO 183- 27,283.89792,-53.72389,22.3,0.741,167,11.95,1.0,0.3,0,0.0
IC 4797,ESO 183- 29,284.12208,-54.30611,28.65,0.437,146,11.4,4.0,1.0,0,0.0
A 1852-54,ESO 183- 30,284.23375,-54.54722,44.63,0.741,16,11.75,4.0,0.6,0,0.0
IC 4800,ESO 104- 25,284.67917,-63.13889,45.28,0.575,164,12.04,1.0,0.5,0,0.0
IC 4808,ESO 282- 3,285.28,-45.31389,48.97,0.427,45,12.37,1.0,0.15,0,0.0
NGC 6725,ESO 183- 36,285.48458,-53.86472,18.03,0.219,40,11.29,4.0,0.6,0,0.0
,ESO 337- 10,286.49792,-42.36639,24.17,0.871,42,11.7,1.0,0.3,0,0.0
NGC 6730,ESO 72- 9,286.88958,-68.91056,16.68,0.851,0,11.31,4.0,1.0,0,0.0
NGC 6764,UGC 11407,287.06958,50.93167,64.31,0.562,62,11.81,1.0,0.15,0,0.0
NGC 6744,ESO 104- 42,287.43917,-63.85611,302.62,0.646,15,8.39,1.0,0.15,0,0.0
NGC 6746,ESO 141- 29,287.59167,-61.97028,26.43,0.646,173,11.7,4.0,1.0,0,0.0
NGC 6753,ESO 184- 22,287.8475,-57.04889,34.93,0.871,30,11.22,1.0,0.3,0,0.0
NGC 6754,ESO 231- 25,287.85708,-50.64194,49.52,0.49,80,12.14,1.0,0.3,0,0.0
NGC 6758,ESO 184- 37,288.46792,-56.30917,23.02,0.776,121,11.75,4.0,1.0,0,0.0
IC 4831,ESO 141- 38,288.68292,-62.27167,28.15,0.263,111,11.55,1.0,0.3,1,0.0
NGC 6769,ESO 141- 48,289.59458,-60.50083,52.27,0.646,123,11.8,1.0,0.3,0,0.0
NGC 6770,ESO 141- 49,289.65667,-60.49722,33.36,0.724,20,12.08,1.0,0.3,0,0.0
IC 4845,ESO 141- 54,290.095,-60.39028,17.71,0.851,87,11.59,1.0,0.3,0,0.0
NGC 6782,ESO 142- 1,290.98833,-59.92278,47.86,0.661,45,11.09,1.0,0.5,0,0.0
A 1930+54,UGC 11453,292.78458,54.10306,83.8,0.759,80,12.15,1.0,0.3,0,0.0
,ESO 105- 4,293.10458,-64.41333,16.11,0.794,136,11.83,4.0,1.0,0,0.0
,ESO 142- 19,293.325,-58.11389,89.3,0.166,160,11.07,1.0,0.3,1,0.0
NGC 6814,MCG -2-50- 1,295.66958,-10.32361,48.54,0.933,0,11.31,1.0,0.15,0,0.0
NGC 6810,ESO 142- 35,295.8925,-58.65583,37.47,0.282,176,11.62,1.0,0.3,1,0.0
NGC 6824,UGC 11470,295.92125,56.11083,19.65,0.692,60,12.25,1.0,0.3,0,0.0
NGC 6808,ESO 73- 3,295.97625,-70.63278,26.02,0.501,40,11.71,1.0,0.3,0,0.0
,ESO 232- 21,296.15417,-51.60278,31.34,0.182,62,12.1,4.0,0.6,0,0.0
NGC 6822,MCG -2-50- 6,296.24125,-14.80306,230.37,0.871,0,8.76,1.0,0.03,0,0.0
IC 4889,ESO 185- 14,296.31625,-54.34361,29.32,0.575,0,11.16,4.0,1.0,0,0.0
IC 4906,ESO 142- 57,299.19833,-60.46806,58.97,0.55,69,11.6,4.0,0.6,0,0.0
IC 4931,ESO 339- 23,300.20917,-38.575,29.66,0.813,0,12.06,4.0,1.0,0,0.0
NGC 6848,ESO 185- 52,300.69583,-56.08833,45.38,0.417,157,11.33,1.0,0.5,0,0.0
,ESO 185- 54,300.86417,-55.9475,31.78,0.676,122,10.4,4.0,1.0,0,0.0
IC 4933,ESO 185- 55,300.87208,-54.97917,41.32,0.851,0,12.38,1.0,0.15,0,0.0
NGC 6851,ESO 233- 21,300.89,-48.28389,19.82,0.724,160,11.79,4.0,1.0,0,0.0
NGC 6849,ESO 339- 32,301.56792,-40.19778,48.65,0.603,18,12.1,4.0,1.0,0,0.0
NGC 6861,ESO 233- 32,301.83,-48.37,21.98,0.646,140,11.22,4.0,1.0,0,0.0
NGC 6868,ESO 233- 39,302.47417,-48.37917,37.77,0.794,86,10.76,4.0,1.0,0,0.0
,ESO 284- 41,304.07625,-44.30083,9.35,0.562,0,12.45,1.0,0.03,0,0.0
NGC 6872,ESO 73- 32,304.23375,-70.76778,45.92,0.288,66,11.94,1.0,0.3,1,0.0
NGC 6887,ESO 186- 27,304.32125,-52.79667,60.99,0.38,102,12.07,1.0,0.15,0,1.09
IC 4991,ESO 340- 11,304.59625,-41.05028,113.4,0.692,145,10.66,4.0,0.6,0,0.0
NGC 6893,ESO 234- 6,305.20625,-48.23944,51.84,0.661,10,11.89,4.0,0.6,0,0.0
,ESO 186- 36,305.32875,-53.76417,32.44,0.282,18,11.8,1.0,0.5,1,0.0
,ESO 462- 15,305.80625,-27.71361,24.11,0.776,166,12.05,4.0,1.0,0,0.0
IC 4946,ESO 285- 7,305.98917,-43.99639,44.4,0.417,68,11.71,1.0,0.6,0,0.0
,ESO 234- 21,306.08333,-49.68444,68.33,0.724,165,11.79,4.0,0.6,0,0.0
NGC 6902,ESO 285- 8,306.11583,-43.6525,97.97,0.692,153,10.89,1.0,0.15,0,4.76
NGC 6907,ESO 528- 3,306.2775,-24.80833,47.44,0.813,46,11.15,1.0,0.15,0,0.0
NGC 6909,ESO 285- 12,306.91125,-47.02611,37.34,0.49,68,11.71,4.0,1.0,0,0.0
NGC 6923,ESO 462- 29,307.91083,-30.83361,47.29,0.49,78,11.93,1.0,0.3,0,9.32
NGC 6925,ESO 463- 4,308.58708,-31.98056,55.38,0.275,5,11.32,1.0,0.15,1,3.46
NGC 6946,UGC 11597,308.71667,60.15417,208.4,0.851,0,9.06,1.0,0.08,0,0.0
NGC 6951,UGC 11604,309.31333,66.10611,115.11,0.832,170,10.89,1.0,0.15,0,0.0
NGC 6935,ESO 234- 59,309.58167,-52.10944,35.34,0.851,0,12.05,1.0,0.3,0,0.0
IC 5041,ESO 463- 21,310.89125,-29.70444,26.72,0.575,28,12.03,1.0,0.08,0,1.51
NGC 6920,ESO 26- 4,310.98583,-80.00083,30.17,0.851,0,11.45,4.0,0.6,0,0.0
NGC 6943,ESO 74- 6,311.1375,-68.74722,60.76,0.501,130,11.5,1.0,0.08,0,0.0
NGC 6962,UGC 11628,311.82917,0.32139,31.14,0.794,75,12.25,1.0,0.3,0,0.0
NGC 6958,ESO 341- 15,312.17875,-37.99611,22.24,0.794,107,11.43,4.0,1.0,0,0.0
IC 5063,ESO 187- 23,313.00875,-57.07,89.05,0.676,116,11.99,4.0,0.6,0,0.0
IC 5052,ESO 74- 15,313.02625,-69.20389,206.54,0.132,143,10.61,1.0,0.08,1,0.0
,ESO 107- 4,315.87083,-67.18028,21.73,0.832,136,11.98,4.0,1.0,0,0.0
NGC 7013,UGC 11670,315.88833,29.89639,46.21,0.355,157,11.5,1.0,0.6,0,0.0
NGC 7007,ESO 187- 48,316.36542,-52.55167,19.82,0.603,2,12.04,4.0,1.0,0,0.0
,ESO 235- 55,316.47875,-48.20639,55.73,0.813,0,12.15,1.0,0.15,0,0.0
IC 5084,ESO 107- 7,317.30875,-63.29028,34.53,0.617,137,11.85,1.0,0.3,0,0.0
NGC 7020,ESO 107- 13,317.83417,-64.02528,104.6,0.49,165,11.88,4.0,0.6,0,0.0
NGC 7029,ESO 235- 72,317.96833,-49.28278,28.65,0.55,71,11.45,4.0,1.0,0,0.0
NGC 7041,ESO 235- 82,319.13583,-48.36417,52.17,0.407,85,11.19,4.0,0.6,0,0.0
,ESO 342- 26,319.19167,-42.26056,54.02,0.562,113,12.06,4.0,0.6,0,0.0
,ESO 342- 27,319.22917,-42.25861,88.03,0.724,52,11.4,4.0,0.6,0,0.0
NGC 7049,ESO 236- 1,319.75125,-48.56389,80.28,0.692,57,10.82,4.0,0.6,0,0.0
IC 5105,ESO 342- 39,321.0925,-40.53639,32.89,0.603,40,11.72,4.0,1.0,0,0.0
NGC 7057,ESO 287- 17,321.24417,-42.46083,21.0,0.676,132,11.7,4.0,1.0,0,0.0
NGC 7059,ESO 145- 5,321.83958,-60.01417,63.94,0.479,98,11.8,1.0,0.15,0,2.63
A 2125-38,ESO 342- 50,322.06333,-37.86167,54.07,0.537,19,12.33,1.0,0.15,0,1.18
NGC 7070,ESO 287- 28,322.60542,-43.08667,41.58,0.776,0,12.25,1.0,0.08,0,1.42
NGC 7079,ESO 287- 36,323.14625,-44.06667,69.12,0.617,82,11.56,4.0,0.6,0,4.74
NGC 7083,ESO 107- 36,323.93958,-63.90472,57.69,0.603,5,11.12,1.0,0.15,0,0.0
NGC 7090,ESO 188- 12,324.11917,-54.5575,150.04,0.17,127,10.78,1.0,0.15,1,1.35
NGC 7097,ESO 287- 48,325.05583,-42.53972,21.98,0.676,20,11.71,4.0,1.0,0,0.0
NGC 7096,ESO 107- 46,325.3325,-63.91056,38.9,0.871,130,12.07,1.0,0.5,0,0.0
NGC 7098,ESO 48- 5,326.06917,-75.1125,110.92,0.646,74,11.48,1.0,0.5,0,8.66
NGC 7125,ESO 145- 17,327.31792,-60.71194,87.32,0.692,110,12.25,1.0,0.15,0,0.0
NGC 7126,ESO 145- 18,327.325,-60.60861,39.02,0.457,80,12.32,1.0,0.15,0,0.0
NGC 7135,ESO 403- 35,327.43208,-34.87833,38.65,0.661,47,11.81,4.0,1.0,0,0.0
NGC 7123,ESO 75- 27,327.69542,-70.33444,45.64,0.479,146,11.47,1.0,0.5,0,0.0
NGC 7141,ESO 189- 7,328.06333,-55.56972,70.98,0.724,18,11.45,1.0,0.15,0,15.29
NGC 7144,ESO 237- 11,328.17875,-48.25444,32.52,0.977,0,10.8,4.0,1.0,0,0.0
NGC 7145,ESO 237- 13,328.33417,-47.8825,30.0,0.955,0,11.14,4.0,1.0,0,0.0
NGC 7154,ESO 404- 8,328.83833,-34.81444,31.36,0.759,102,12.31,1.0,0.03,0,2.08
NGC 7166,ESO 288- 27,330.13667,-43.38944,19.15,0.372,14,11.95,4.0,1.0,0,0.0
NGC 7177,UGC 11872,330.17375,17.73806,37.0,0.646,90,11.26,1.0,0.3,0,0.0
NGC 7171,MCG -2-56- 5,330.25833,-13.26944,62.06,0.589,125,12.13,1.0,0.3,0,1.14
NGC 7172,ESO 466- 38,330.50667,-31.86861,52.48,0.562,100,12.1,1.0,0.3,0,0.0
NGC 7173,ESO 466- 39,330.51542,-31.97361,16.3,0.741,143,12.05,4.0,1.0,0,0.0
NGC 7168,ESO 237- 26,330.53,-51.74194,21.0,0.741,68,11.96,4.0,1.0,0,0.0
NGC 7176,ESO 466- 41,330.53625,-31.99028,1.4,0.724,0,11.44,4.0,1.0,0,0.0
NGC 7184,ESO 601- 9,330.66583,-20.81278,135.55,0.245,62,11.1,1.0,0.15,1,1.86
IC 5156,ESO 404- 25,330.81083,-33.8375,30.79,0.363,175,12.2,1.0,0.3,0,1.66
IC 5157,ESO 404- 26,330.86208,-34.94111,21.73,0.912,0,11.8,4.0,1.0,0,0.0
NGC 7196,ESO 237- 36,331.47792,-50.11972,22.5,0.741,53,11.5,4.0,1.0,0,0.0
NGC 7192,ESO 108- 12,331.70833,-64.31583,29.32,0.955,0,11.29,4.0,1.0,0,0.0
NGC 7217,UGC 11914,331.9675,31.35972,66.57,0.832,95,10.27,1.0,0.3,0,0.0
NGC 7205,ESO 146- 9,332.14042,-57.44306,65.03,0.49,73,10.8,1.0,0.15,0,1.18
NGC 7213,ESO 288- 43,332.32042,-47.16611,60.95,0.891,0,10.26,1.0,0.5,0,8.01
NGC 7221,ESO 467- 18,332.80917,-30.56306,34.36,0.776,10,12.05,1.0,0.15,0,0.0
IC 5181,ESO 289- 1,333.33917,-46.01861,16.16,0.309,74,11.61,4.0,0.6,0,0.0
NGC 7232,ESO 289- 7,333.90667,-45.85083,31.52,0.331,99,12.2,1.0,0.5,1,0.0
IC 5179,ESO 405- 5,334.03542,-36.84778,37.65,0.479,57,11.63,1.0,0.15,0,0.0
IC 5186,ESO 405- 7,334.69417,-36.80083,30.28,0.631,112,11.75,1.0,0.15,0,0.0
NGC 7252,ESO 533- 15,335.18708,-24.67806,44.12,0.832,0,11.16,4.0,0.6,0,0.0
IC 5201,ESO 289- 18,335.23917,-46.03472,126.54,0.457,33,10.75,1.0,0.08,0,2.09
NGC 7267,ESO 405- 18,336.0925,-33.69278,36.31,0.832,6,12.16,1.0,0.5,0,0.0
NGC 7307,ESO 345- 26,338.46875,-40.93333,78.98,0.251,9,12.37,1.0,0.08,1,1.88
NGC 7309,MCG -2-57- 16,338.58625,-10.35722,32.07,0.933,0,12.45,1.0,0.15,0,0.0
NGC 7314,ESO 533- 53,338.94083,-26.05083,74.36,0.457,3,10.87,1.0,0.15,0,0.63
NGC 7331,UGC 12113,339.27167,34.41944,120.06,0.355,171,9.6,1.0,0.3,0,0.0
NGC 7332,UGC 12115,339.35208,23.79778,19.12,0.275,155,11.12,4.0,0.6,0,0.0
NGC 7329,ESO 109- 12,340.09792,-66.47889,101.92,0.676,107,11.35,1.0,0.3,0,0.0
IC 5240,ESO 290- 2,340.46875,-44.76833,40.27,0.676,100,12.03,1.0,0.5,0,4.04
NGC 7361,ESO 468- 23,340.575,-30.05806,35.59,0.251,4,12.19,1.0,0.15,1,1.04
NGC 7371,MCG -2-58- 1,341.5,-11.0,106.53,1.0,0,11.36,1.0,0.6,0,0.0
NGC 7377,ESO 534- 26,341.94792,-22.3125,110.82,0.832,101,11.17,4.0,0.6,0,0.0
NGC 7392,ESO 603- 22,342.95583,-20.6075,30.46,0.589,123,11.87,1.0,0.15,0,0.0
NGC 7404,ESO 346- 10,343.57792,-39.31528,51.8,0.575,2,11.85,4.0,0.6,0,0.0
NGC 7410,ESO 346- 12,343.75292,-39.66139,70.83,0.309,45,10.49,1.0,0.5,1,0.0
NGC 7412,ESO 290- 24,343.93875,-42.64111,72.15,0.741,65,11.13,1.0,0.3,0,1.54
NGC 7421,ESO 346- 17,344.2275,-37.34556,48.54,0.891,0,11.81,1.0,0.15,0,1.75
IC 5267B,ESO 290- 27,344.23625,-43.76083,40.65,0.447,106,11.76,4.0,0.6,0,0.0
IC 1459,ESO 406- 30,344.29375,-36.4625,40.47,0.724,40,10.07,4.0,1.0,0,0.0
IC 5267,ESO 290- 29,344.30583,-43.39583,98.28,0.741,140,10.53,1.0,0.6,0,5.52
NGC 7424,ESO 346- 19,344.325,-41.06917,150.97,0.851,0,10.41,1.0,0.08,0,3.73
IC 5271,ESO 406- 34,344.50875,-33.74222,40.2,0.324,138,10.84,1.0,0.3,1,0.9
IC 5273,ESO 346- 22,344.86125,-37.70333,54.19,0.661,56,11.29,1.0,0.08,0,1.18
NGC 7448,UGC 12294,345.01542,15.9825,35.59,0.457,170,11.45,1.0,0.15,0,1.4
NGC 7443,MCG -2-58- 15,345.025,-12.8,2.76,0.38,30,11.67,4.0,0.6,0,0.0
NGC 7457,UGC 12306,345.24958,30.14417,43.87,0.537,130,11.19,4.0,1.0,0,0.0
NGC 7454,UGC 12305,345.27792,16.39,29.66,0.708,150,11.88,4.0,1.0,0,0.0
NGC 7456,ESO 346- 26,345.54167,-39.56917,82.62,0.295,23,11.81,1.0,0.08,1,1.17
NGC 7469,UGC 12332,345.815,8.87472,10.96,0.724,125,12.25,1.0,0.5,0,0.0
NGC 7479,UGC 12343,346.23792,12.32167,74.32,0.759,25,11.05,1.0,0.15,0,4.62
NGC 7497,UGC 12392,347.26583,18.17667,83.32,0.234,48,12.41,1.0,0.08,1,2.15
NGC 7507,ESO 469- 19,348.03167,-28.54139,31.05,0.977,0,10.46,4.0,1.0,0,0.0
NGC 7513,ESO 469- 22,348.30583,-28.35944,83.8,0.661,108,10.64,1.0,0.3,0,1.96
NGC 7541,UGC 12447,348.67958,4.53444,53.09,0.355,102,11.67,1.0,0.15,0,1.06
NGC 7531,ESO 291- 10,348.70292,-43.59889,44.57,0.398,15,11.29,1.0,0.15,0,2.69
NGC 7562,UGC 12464,348.98917,6.6875,28.0,0.661,83,11.73,4.0,1.0,0,0.0
NGC 7552,ESO 291- 12,349.04542,-42.58361,46.05,0.794,1,10.5,1.0,0.3,0,6.63
NGC 7585,MCG -1-59- 15,349.50583,-4.65083,72.38,0.851,105,11.43,4.0,0.6,0,0.0
NGC 7582,ESO 291- 16,349.59708,-42.36972,82.13,0.417,157,10.62,1.0,0.3,0,10.59
NGC 7600,MCG -1-59- 19,349.72458,-7.58056,28.0,0.437,70,12.01,4.0,1.0,0,0.0
NGC 7590,ESO 347- 33,349.72917,-42.23806,38.48,0.38,36,11.36,1.0,0.15,0,1.32
NGC 7606,MCG -2-59- 12,349.77042,-8.48556,103.62,0.398,145,10.76,1.0,0.3,0,1.15
NGC 7599,ESO 347- 34,349.83708,-42.25639,73.35,0.309,57,11.53,1.0,0.15,1,1.18
NGC 7619,UGC 12523,350.06125,8.20639,38.65,0.912,30,11.2,4.0,1.0,0,0.0
NGC 7625,UGC 12529,350.12833,17.22806,28.18,0.912,0,12.08,1.0,0.5,0,1.78
NGC 7626,UGC 12531,350.17667,8.21722,40.94,0.891,0,11.26,4.0,1.0,0,0.0
NGC 7632,ESO 291- 21,350.50542,-42.47889,64.49,0.49,92,12.05,4.0,0.6,0,0.0
NGC 7640,UGC 12554,350.52792,40.84528,133.53,0.191,167,11.31,1.0,0.15,1,0.0
NGC 7678,UGC 12614,352.11708,22.42278,45.3,0.708,5,11.86,1.0,0.15,0,0.0
IC 5325,ESO 347- 18,352.18,-41.33278,39.91,0.912,0,11.08,1.0,0.15,0,1.11
NGC 7676,ESO 148- 16,352.25833,-59.71778,14.69,0.55,85,11.59,4.0,1.0,0,0.0
A 2327+40,UGC 12632,352.49458,40.99028,76.99,0.832,0,12.23,1.0,0.03,0,0.0
NGC 7690,ESO 240- 6,353.25958,-51.69694,19.32,0.389,132,12.25,1.0,0.3,0,2.73
NGC 7689,ESO 192- 7,353.3175,-54.09361,29.22,0.661,162,11.65,1.0,0.08,0,1.02
IC 5328,ESO 291- 29,353.32083,-45.01694,28.32,0.617,40,11.44,4.0,1.0,0,0.0
NGC 7713,ESO 347- 28,354.05625,-37.94,68.99,0.407,168,10.96,1.0,0.08,0,1.12
NGC 7714,UGC 12699,354.06125,2.155,17.31,0.741,4,12.25,1.0,0.3,0,18.07
NGC 7716,UGC 12702,354.12917,0.29722,39.2,0.832,35,12.07,1.0,0.3,0,8.83
NGC 7713A,ESO 347- 30,354.28458,-37.71472,37.92,0.813,0,12.43,1.0,0.08,0,0.0
,ESO 240- 10,354.43458,-47.50472,60.21,0.468,133,11.7,4.0,0.6,0,0.0
NGC 7721,MCG -1-60- 17,354.70292,-6.51833,66.98,0.407,20,11.67,1.0,0.15,0,1.34
NGC 7723,MCG -2-60- 5,354.73792,-12.96167,54.73,0.676,40,11.19,1.0,0.3,0,2.17
NGC 7727,MCG -2-60- 8,354.97417,-12.29333,77.62,0.759,0,10.75,1.0,0.5,0,4.88
NGC 7741,UGC 12754,355.975,26.07556,82.97,0.676,170,11.29,1.0,0.08,0,2.12
NGC 7742,UGC 12760,356.06667,10.76778,20.1,1.0,0,11.6,1.0,0.3,0,2.36
NGC 7743,UGC 12759,356.09,9.93444,104.62,0.851,80,11.48,4.0,0.6,0,8.41
NGC 7744,ESO 292- 17,356.24708,-42.91056,33.47,0.794,105,11.97,4.0,0.6,0,0.0
NGC 7755,ESO 471- 20,356.96625,-30.51944,37.25,0.759,20,12.01,1.0,0.15,0,9.61
NGC 7764,ESO 293- 4,357.72708,-40.73194,16.73,0.724,148,12.05,1.0,0.03,0,1.02
NGC 7785,UGC 12841,358.82958,5.91472,31.41,0.55,143,11.73,4.0,1.0,0,0.0
NGC 7793,ESO 349- 12,359.45625,-32.59,173.34,0.676,98,9.08,1.0,0.08,0,1.04
NGC 7796,ESO 149- 7,359.74917,-55.45667,22.76,0.871,168,11.56,4.0,1.0,0,0.0
NGC 7798,UGC 12884,359.85542,20.75,21.54,0.912,0,12.17,1.0,0.3,0,1.99
